87840,-0.004,-0.061,1.001,0.000,-0.610,0.000
87864,-0.004,-0.061,1.002,-0.183,-0.427,-0.183
87888,-0.005,-0.061,1.001,0.061,-0.549,-0.061
87912,-0.007,-0.060,1.003,0.061,-0.671,-0.183
87936,-0.005,-0.059,1.001,-0.305,-0.488,-0.122
87960,-0.005,-0.059,1.002,-0.244,-0.549,-0.183
87984,-0.004,-0.058,1.000,-0.305,-0.549,-0.122
88008,-0.004,-0.062,1.003,-0.244,-0.549,-0.183
88032,-0.004,-0.061,1.003,0.061,-0.488,-0.122
88056,-0.007,-0.060,1.001,-0.122,-0.549,-0.244
88080,-0.005,-0.058,1.003,-0.122,-0.610,-0.122
88104,-0.004,-0.057,1.000,-0.366,-0.610,0.061
88128,-0.003,-0.060,0.999,-0.183,-0.427,-0.244
88152,-0.005,-0.062,1.003,-0.122,-0.427,-0.122
88176,-0.008,-0.060,1.003,-0.061,-0.427,-0.244
88200,-0.008,-0.059,1.001,0.000,-0.610,-0.061
88224,-0.004,-0.059,1.002,-0.244,-0.549,-0.061
88248,-0.004,-0.058,0.997,-0.366,-0.610,-0.122
88272,-0.002,-0.058,1.002,0.061,-0.549,-0.061
88296,-0.005,-0.060,1.000,-0.061,-0.549,-0.122
88320,-0.007,-0.062,1.002,-0.122,-0.610,0.000
88344,-0.006,-0.063,1.002,-0.305,-0.610,-0.061
88368,-0.002,-0.062,1.001,-0.183,-0.549,-0.061
88392,-0.004,-0.057,1.000,0.122,-0.549,-0.122
88416,-0.006,-0.059,1.001,0.000,-0.549,-0.183
88440,-0.006,-0.060,1.000,-0.244,-0.488,-0.061
88464,-0.005,-0.061,1.003,-0.122,-0.610,0.000
88488,-0.004,-0.062,1.002,-0.061,-0.610,-0.061
88512,-0.005,-0.058,1.000,0.122,-0.610,-0.061
88536,-0.005,-0.059,1.002,-0.183,-0.732,-0.122
88560,-0.006,-0.060,1.000,-0.183,-0.488,-0.061
88584,-0.005,-0.059,1.001,-0.244,-0.610,-0.122
88608,-0.005,-0.060,1.000,-0.122,-0.610,-0.122
88632,-0.005,-0.062,1.003,0.061,-0.610,-0.183
88656,-0.007,-0.059,1.003,-0.183,-0.549,-0.122
88680,-0.005,-0.059,1.002,-0.061,-0.610,-0.183
88704,-0.002,-0.061,1.001,-0.183,-0.488,-0.061
88728,-0.004,-0.059,1.000,0.000,-0.549,-0.183
88752,-0.002,-0.059,1.000,0.000,-0.549,-0.122
88776,-0.005,-0.060,1.002,-0.244,-0.366,-0.366
88800,-0.007,-0.060,1.002,-0.366,-0.488,-0.244
88824,-0.004,-0.061,0.999,-0.122,-0.549,-0.183
88848,-0.002,-0.060,1.002,-0.122,-0.549,-0.244
88872,-0.004,-0.059,0.999,0.244,-0.610,-0.122
88896,-0.007,-0.057,1.001,0.000,-0.610,-0.183
88920,-0.005,-0.059,1.001,-0.427,-0.488,-0.122
88944,-0.005,-0.063,1.001,-0.183,-0.610,-0.061
