theta_b,theta_b_dot,theta_w_dot,torque,torque_raw,delta_t
-0.002415,0.004261,17.412693,0.082958,0.082958,0.003895
-0.002800,0.008522,18.015133,0.056125,0.056125,0.003899
-0.002955,0.009587,18.568108,0.052613,0.052613,0.004230
-0.003104,0.010653,19.228802,0.048710,0.048710,0.003899
-0.003246,0.010653,19.929949,0.056618,0.056618,0.003898
-0.003226,0.011718,20.592249,0.042971,0.042971,0.003900
-0.003202,0.012783,21.247211,0.029158,0.029158,0.003898
-0.003224,0.013848,21.830545,0.017961,0.017961,0.003895
-0.003245,0.013848,22.190716,0.018934,0.018934,0.003900
-0.003270,0.012783,22.461807,0.032375,0.032375,0.003899
-0.002902,0.007457,22.585531,0.072103,0.072103,0.003896
-0.002568,0.002131,22.747089,0.113879,0.113879,0.003901
-0.002222,0.000000,22.956381,0.118334,0.118334,0.003892
-0.001890,0.000000,23.112089,0.099173,0.099173,0.003899
-0.001583,-0.003196,23.258659,0.118070,0.118070,0.003896
-0.001721,-0.005326,23.489868,0.150281,0.150281,0.003900
-0.001852,-0.005326,23.753702,0.157750,0.157750,0.003897
-0.001979,-0.005326,24.158634,0.164904,0.164904,0.003898
-0.002006,-0.002131,24.647745,0.129744,0.129744,0.003900
-0.002053,-0.007457,25.298012,0.193193,0.193193,0.003898
-0.001989,-0.009587,26.113405,0.213671,0.213671,0.003899
-0.001929,-0.009587,27.039165,0.209835,0.209835,0.003899
-0.001870,-0.009587,28.057425,0.206094,0.206094,0.003896
-0.001831,-0.010653,29.020155,0.215651,0.215651,0.003897
-0.001794,-0.010653,29.950558,0.213124,0.213124,0.003896
-0.001821,-0.008522,30.522346,0.189892,0.189892,0.004203
-0.001844,-0.008522,30.929111,0.190992,0.190992,0.003896
-0.001879,-0.011718,30.997828,0.229379,0.229379,0.003895
-0.001950,-0.012783,30.978617,0.245670,0.245670,0.003899
-0.002023,-0.013848,30.916304,0.262063,0.262063,0.003900
-0.002093,-0.013848,30.874342,0.266105,0.266105,0.003895
-0.002162,-0.013848,31.027470,0.270071,0.270071,0.003896
-0.002228,-0.013848,31.483110,0.273803,0.273803,0.003901
-0.002255,-0.013848,32.189480,0.275152,0.275152,0.003899
-0.002292,-0.017044,33.142433,0.313607,0.313607,0.003896
-0.002328,-0.017044,34.161633,0.315291,0.315291,0.003899
-0.002470,-0.018109,35.204483,0.335223,0.335223,0.003897
-0.002607,-0.018109,35.987518,0.342627,0.342627,0.003901
-0.002668,-0.018109,36.404495,0.345855,0.345855,0.003897
-0.002728,-0.018109,36.450905,0.349089,0.349089,0.003895
-0.002793,-0.020240,36.280010,0.377194,0.377194,0.003902
-0.002848,-0.020240,36.039028,0.380422,0.380422,0.003897
-0.002904,-0.021305,35.964077,0.395979,0.395979,0.003898
-0.002959,-0.021305,36.153057,0.399148,0.399148,0.003903
-0.003134,-0.024501,36.900982,0.445723,0.445723,0.003898
-0.003299,-0.023436,37.989185,0.442657,0.442657,0.003899
-0.003594,-0.023436,39.334736,0.459166,0.459166,0.003896
-0.003881,-0.024501,40.712940,0.487320,0.487320,0.003900
-0.004164,-0.024501,41.536930,0.503013,0.503013,0.004202
-0.004259,-0.025566,41.874851,0.520309,0.520309,0.003898
-0.004346,-0.024501,41.719364,0.512966,0.512966,0.003897
-0.004630,-0.022371,41.332661,0.504986,0.504986,0.003897
-0.004904,-0.022371,41.055260,0.520842,0.520842,0.003901
-0.005158,-0.020240,41.230152,0.511177,0.511177,0.003901
-0.005438,-0.017044,41.937866,0.490608,0.490608,0.003899
-0.005715,-0.019175,43.179188,0.530607,0.530607,0.003896
-0.005981,-0.019175,44.500759,0.545361,0.545361,0.003896
-0.006029,-0.015979,45.522457,0.511016,0.511016,0.003899
-0.006064,-0.012783,45.916840,0.475996,0.475996,0.003900
-0.006092,-0.011718,45.724983,0.465285,0.465285,0.003895
-0.006112,-0.009587,45.110458,0.442097,0.442097,0.003897
-0.006131,-0.009587,44.785069,0.443429,0.443429,0.003899
-0.006304,-0.008522,45.094135,0.441324,0.441324,0.003899
-0.006462,-0.006392,46.243958,0.425908,0.425908,0.003900
-0.006731,-0.004261,48.013813,0.416461,0.416461,0.003899
-0.006988,-0.004261,49.866409,0.430533,0.430533,0.003897
-0.007240,-0.005326,51.106579,0.456405,0.456405,0.003900
-0.007550,-0.002131,51.283764,0.437121,0.437121,0.003898
-0.007831,0.002131,50.626957,0.404448,0.404448,0.003898
-0.008102,0.002131,49.755459,0.420251,0.420251,0.003901
-0.008221,0.006392,49.500244,0.378675,0.378675,0.003896
-0.008334,0.006392,50.260479,0.385246,0.385246,0.004203
-0.008460,0.009587,51.854969,0.355583,0.355583,0.003901
-0.008568,0.012783,53.396099,0.324586,0.324586,0.003921
-0.008673,0.012783,54.356884,0.329959,0.329959,0.003906
-0.008748,0.015979,54.164093,0.297295,0.297295,0.003898
-0.008804,0.020240,53.257729,0.251819,0.251819,0.003899
-0.008809,0.017044,52.473522,0.289069,0.289069,0.003899
-0.008814,0.017044,52.695992,0.289672,0.289672,0.003898
-0.008811,0.019175,54.127098,0.265002,0.265002,0.003898
-0.008546,0.019175,56.154076,0.249205,0.249205,0.003893
-0.008292,0.019175,57.795284,0.233762,0.233762,0.003902
-0.007810,0.019175,58.176468,0.205414,0.205414,0.003896
-0.007347,0.019175,57.489471,0.178684,0.178684,0.003899
-0.006923,0.013848,56.483128,0.215578,0.215578,0.003901
-0.006483,0.014914,56.412418,0.178520,0.178520,0.003899
-0.006085,0.008522,57.575848,0.228834,0.228834,0.003895
-0.005702,0.008522,59.436199,0.206384,0.206384,0.003898
-0.005392,0.004261,60.765137,0.236611,0.236611,0.003899
-0.005103,0.002131,60.782822,0.243835,0.243835,0.003899
-0.004852,-0.001065,59.625050,0.265980,0.265980,0.003899
-0.004611,-0.001065,58.855087,0.252598,0.252598,0.003899
-0.004395,-0.005326,59.463219,0.289310,0.289310,0.003898
-0.004333,-0.004261,61.853966,0.273318,0.273318,0.003898
-0.004288,-0.007457,64.433121,0.306331,0.306331,0.004201
-0.004381,-0.007457,65.627228,0.310624,0.310624,0.003897
-0.004471,-0.007457,64.841026,0.315271,0.315271,0.003897
-0.004556,-0.007457,63.271339,0.320525,0.320525,0.003899
-0.004817,-0.007457,62.774178,0.336159,0.336159,0.003904
-0.005060,-0.005326,64.085732,0.325902,0.325902,0.003897
-0.005293,-0.005326,66.268471,0.338737,0.338737,0.003896
-0.005419,-0.002131,67.625839,0.308538,0.308538,0.003900
-0.005541,-0.002131,67.116707,0.314973,0.314973,0.003896
-0.005606,-0.002131,65.544342,0.318916,0.318916,0.003900
-0.005665,-0.001065,64.877045,0.310720,0.310720,0.003899
